job_title,location,industry,employment_type,tone,salary_min,salary_max,currency,keywords,benefits,summary,created_at,status,uuid
Cybersecurity Analyst,"Lisbon, Portugal",Cybersecurity,Full-time,corporate,59701,95522,EUR,"security, cybersecurity, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cybersecurity Analyst in Lisbon, Portugal with expertise in security, cybersecurity, technology.",2025-10-05T01:51:32.681653+00:00,new,43e3a916-d53f-4c8b-b305-2006fc8bac8b
Data Governance Specialist,"Lisbon, Portugal",Data Management,Full-time,corporate,55745,89192,EUR,"data, governance, compliance","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Data Governance Specialist in Lisbon, Portugal with expertise in data, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,2af365f4-c031-4d0d-bb06-0acdb7c1393f
Data Privacy Officer,"Lisbon, Portugal",Data Management,Full-time,corporate,67013,107221,EUR,"data, privacy, compliance","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Data Privacy Officer in Lisbon, Portugal with expertise in data, privacy, compliance.",2025-10-05T01:51:32.681653+00:00,new,ad06f85f-f1d5-462a-af2b-bfeb2a70ff8b
Digital Content Manager,"Lisbon, Portugal",Marketing,Full-time,corporate,47116,75385,EUR,"content, digital, marketing","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Digital Content Manager in Lisbon, Portugal with expertise in content, digital, marketing.",2025-10-05T01:51:32.681653+00:00,new,6b5db14a-0626-4bb1-b333-39745036aefc
Digital Transformation Consultant,"Lisbon, Portugal",Digital Consulting,Full-time,corporate,59612,95380,EUR,"digital, consulting, business","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Digital Transformation Consultant in Lisbon, Portugal with expertise in digital, consulting, business.",2025-10-05T01:51:32.681653+00:00,new,f86ae43e-f621-4139-8333-068da1afac0c
Diversity and Inclusion Specialist,"Lisbon, Portugal",Human Resources,Full-time,corporate,54013,86421,EUR,"hr, diversity, inclusion","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Diversity and Inclusion Specialist in Lisbon, Portugal with expertise in hr, diversity, inclusion.",2025-10-05T01:51:32.681653+00:00,new,3b6e58ef-0a3c-48c7-a4f1-a86bbcb949b6
E-commerce Specialist,"Lisbon, Portugal",E-commerce,Full-time,corporate,55905,89448,EUR,"ecommerce, digital, business","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced E-commerce Specialist in Lisbon, Portugal with expertise in ecommerce, digital, business.",2025-10-05T01:51:32.681653+00:00,new,d56f5a87-cf87-47e2-83d7-811de4a660f0
AI Governance Specialist,"Barcelona, Spain",Artificial Intelligence,Full-time,corporate,70669,109215,EUR,"ai, governance, compliance","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced AI Governance Specialist in Barcelona, Spain with expertise in ai, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,c3a385f8-1d9d-479d-9c2f-fd22b68507f6
AI Product Manager,"Barcelona, Spain",Artificial Intelligence,Full-time,corporate,80555,124494,EUR,"ai, product, management","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced AI Product Manager in Barcelona, Spain with expertise in ai, product, management.",2025-10-05T01:51:32.681653+00:00,new,3560da68-9847-4083-952b-e028190516c3
AI Trainer,"Barcelona, Spain",Artificial Intelligence,Full-time,corporate,73689,113883,EUR,"ai, training, technology","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced AI Trainer in Barcelona, Spain with expertise in ai, training, technology.",2025-10-05T01:51:32.681653+00:00,new,c8f37825-4500-459d-86e0-b302cd5cbf64
Carbon Emissions Analyst,"Barcelona, Spain",Environmental Services,Full-time,corporate,53332,82422,EUR,"sustainability, environment, analytics","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Carbon Emissions Analyst in Barcelona, Spain with expertise in sustainability, environment, analytics.",2025-10-05T01:51:32.681653+00:00,new,8fbf27ff-b777-447a-a280-4f38dff43629
Climate Change Analyst,"Barcelona, Spain",Environmental Services,Full-time,corporate,54853,84773,EUR,"environment, climate, analytics","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Climate Change Analyst in Barcelona, Spain with expertise in environment, climate, analytics.",2025-10-05T01:51:32.681653+00:00,new,7e149fe0-949c-4226-80f9-22e8f98458d6
Cloud Architect,"Barcelona, Spain",Information Technology,Full-time,corporate,78326,121048,EUR,"cloud, architecture, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cloud Architect in Barcelona, Spain with expertise in cloud, architecture, technology.",2025-10-05T01:51:32.681653+00:00,new,20e43e55-e11b-4827-9049-060c1e0a25d2
Cloud Security Specialist,"Barcelona, Spain",Cybersecurity,Full-time,corporate,68707,106184,EUR,"security, cloud, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cloud Security Specialist in Barcelona, Spain with expertise in security, cloud, technology.",2025-10-05T01:51:32.681653+00:00,new,630d8035-c453-4d0d-8ec6-55f7516c86db
Compliance Officer,"Barcelona, Spain",Legal & Compliance,Full-time,corporate,66040,102063,EUR,"compliance, legal, business","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Compliance Officer in Barcelona, Spain with expertise in compliance, legal, business.",2025-10-05T01:51:32.681653+00:00,new,b8cbcb66-5893-4cb8-94c7-f08d9013c804
Corporate Social Responsibility Manager,"Barcelona, Spain",Corporate Social Responsibility,Full-time,corporate,64276,99335,EUR,"csr, sustainability, management","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Corporate Social Responsibility Manager in Barcelona, Spain with expertise in csr, sustainability, management.",2025-10-05T01:51:32.681653+00:00,new,94ad7ba7-fd0f-476f-8520-5e11b3d5aa4c
Customer Experience Designer,"Barcelona, Spain",Customer Experience,Full-time,corporate,55524,85811,EUR,"customer, design, experience","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Customer Experience Designer in Barcelona, Spain with expertise in customer, design, experience.",2025-10-05T01:51:32.681653+00:00,new,2608514f-df18-437d-84d4-cc310e5e6ac7
Cybersecurity Analyst,"Barcelona, Spain",Cybersecurity,Full-time,corporate,67689,104610,EUR,"security, cybersecurity, technology","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Cybersecurity Analyst in Barcelona, Spain with expertise in security, cybersecurity, technology.",2025-10-05T01:51:32.681653+00:00,new,70338287-db98-4513-9018-e68f7c8e9127
Data Governance Specialist,"Barcelona, Spain",Data Management,Full-time,corporate,71100,109882,EUR,"data, governance, compliance","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Data Governance Specialist in Barcelona, Spain with expertise in data, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,a0ff5f5d-2681-448b-9d87-a65889902d0d
Data Privacy Officer,"Barcelona, Spain",Data Management,Full-time,corporate,67584,104449,EUR,"data, privacy, compliance","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Data Privacy Officer in Barcelona, Spain with expertise in data, privacy, compliance.",2025-10-05T01:51:32.681653+00:00,new,16f8a484-d11e-462b-9c3f-25eb3da46762
Digital Content Manager,"Barcelona, Spain",Marketing,Full-time,corporate,44956,69477,EUR,"content, digital, marketing","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Digital Content Manager in Barcelona, Spain with expertise in content, digital, marketing.",2025-10-05T01:51:32.681653+00:00,new,54d8c3b1-aa52-44a7-a40b-40b2e2f8481e
Digital Transformation Consultant,"Barcelona, Spain",Digital Consulting,Full-time,corporate,78310,121025,EUR,"digital, consulting, business","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Digital Transformation Consultant in Barcelona, Spain with expertise in digital, consulting, business.",2025-10-05T01:51:32.681653+00:00,new,d38777ff-3ef5-45d6-bd86-16ea6747aba2
Diversity and Inclusion Specialist,"Barcelona, Spain",Human Resources,Full-time,corporate,53743,83057,EUR,"hr, diversity, inclusion","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Diversity and Inclusion Specialist in Barcelona, Spain with expertise in hr, diversity, inclusion.",2025-10-05T01:51:32.681653+00:00,new,0647018c-cedd-4d57-8b2d-66cc8514a917
E-commerce Specialist,"Barcelona, Spain",E-commerce,Full-time,corporate,56205,86862,EUR,"ecommerce, digital, business","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced E-commerce Specialist in Barcelona, Spain with expertise in ecommerce, digital, business.",2025-10-05T01:51:32.681653+00:00,new,ab04df13-67c6-4ede-beec-0c403a97e51f
AI Governance Specialist,"Amsterdam, Netherlands",Artificial Intelligence,Full-time,corporate,116145,199105,EUR,"ai, governance, compliance","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced AI Governance Specialist in Amsterdam, Netherlands with expertise in ai, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,067d42d1-bbf5-4655-8136-4aac163a449d
AI Product Manager,"Amsterdam, Netherlands",Artificial Intelligence,Full-time,corporate,113698,194911,EUR,"ai, product, management","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced AI Product Manager in Amsterdam, Netherlands with expertise in ai, product, management.",2025-10-05T01:51:32.681653+00:00,new,2105dfb8-9904-4789-a9a5-b7ec7f4b1235
AI Trainer,"Amsterdam, Netherlands",Artificial Intelligence,Full-time,corporate,113757,195013,EUR,"ai, training, technology","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced AI Trainer in Amsterdam, Netherlands with expertise in ai, training, technology.",2025-10-05T01:51:32.681653+00:00,new,bc072d14-a606-4a45-8579-540c427f0582
Carbon Emissions Analyst,"Amsterdam, Netherlands",Environmental Services,Full-time,corporate,81780,140195,EUR,"sustainability, environment, analytics","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Carbon Emissions Analyst in Amsterdam, Netherlands with expertise in sustainability, environment, analytics.",2025-10-05T01:51:32.681653+00:00,new,f390f95d-c135-4ff4-9c87-064f6a8720b4
Climate Change Analyst,"Amsterdam, Netherlands",Environmental Services,Full-time,corporate,82625,141644,EUR,"environment, climate, analytics","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Climate Change Analyst in Amsterdam, Netherlands with expertise in environment, climate, analytics.",2025-10-05T01:51:32.681653+00:00,new,b61effa9-2476-40d1-9acb-c33264f12972
Cloud Architect,"Amsterdam, Netherlands",Information Technology,Full-time,corporate,125501,215144,EUR,"cloud, architecture, technology","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Cloud Architect in Amsterdam, Netherlands with expertise in cloud, architecture, technology.",2025-10-05T01:51:32.681653+00:00,new,57412fb9-0205-4237-a1a7-bc2963043ba7
Cloud Security Specialist,"Amsterdam, Netherlands",Cybersecurity,Full-time,corporate,104080,178423,EUR,"security, cloud, technology","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Cloud Security Specialist in Amsterdam, Netherlands with expertise in security, cloud, technology.",2025-10-05T01:51:32.681653+00:00,new,c39b7e12-1dd4-4842-8ce2-bba515514fbe
Compliance Officer,"Amsterdam, Netherlands",Legal & Compliance,Full-time,corporate,85015,145740,EUR,"compliance, legal, business","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Compliance Officer in Amsterdam, Netherlands with expertise in compliance, legal, business.",2025-10-05T01:51:32.681653+00:00,new,b2b9b18f-98ac-4dba-a76f-2fdc580c1971
Corporate Social Responsibility Manager,"Amsterdam, Netherlands",Corporate Social Responsibility,Full-time,corporate,104517,179172,EUR,"csr, sustainability, management","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Corporate Social Responsibility Manager in Amsterdam, Netherlands with expertise in csr, sustainability, management.",2025-10-05T01:51:32.681653+00:00,new,26f0abbc-9276-4ef5-b6a3-fff256af9998
Customer Experience Designer,"Amsterdam, Netherlands",Customer Experience,Full-time,corporate,92221,158094,EUR,"customer, design, experience","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Customer Experience Designer in Amsterdam, Netherlands with expertise in customer, design, experience.",2025-10-05T01:51:32.681653+00:00,new,be3e7784-5b3b-4c17-b58e-9a785b66bb5d
Cybersecurity Analyst,"Amsterdam, Netherlands",Cybersecurity,Full-time,corporate,107417,184143,EUR,"security, cybersecurity, technology","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Cybersecurity Analyst in Amsterdam, Netherlands with expertise in security, cybersecurity, technology.",2025-10-05T01:51:32.681653+00:00,new,d0f49c36-93c2-469c-8267-b7ae66393c33
Data Governance Specialist,"Amsterdam, Netherlands",Data Management,Full-time,corporate,92611,158763,EUR,"data, governance, compliance","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Data Governance Specialist in Amsterdam, Netherlands with expertise in data, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,7d3df2f1-dd81-44e8-b6da-a62889b73e14
Data Privacy Officer,"Amsterdam, Netherlands",Data Management,Full-time,corporate,109832,188285,EUR,"data, privacy, compliance","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Data Privacy Officer in Amsterdam, Netherlands with expertise in data, privacy, compliance.",2025-10-05T01:51:32.681653+00:00,new,35575181-a772-4acc-be13-138029fb4292
Digital Content Manager,"Amsterdam, Netherlands",Marketing,Full-time,corporate,69532,119198,EUR,"content, digital, marketing","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Digital Content Manager in Amsterdam, Netherlands with expertise in content, digital, marketing.",2025-10-05T01:51:32.681653+00:00,new,84958127-d54f-432c-af04-ed80f4c92a0d
Digital Transformation Consultant,"Amsterdam, Netherlands",Digital Consulting,Full-time,corporate,107323,183983,EUR,"digital, consulting, business","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Digital Transformation Consultant in Amsterdam, Netherlands with expertise in digital, consulting, business.",2025-10-05T01:51:32.681653+00:00,new,86342c03-bcae-4f89-8c13-e3734770bb53
Diversity and Inclusion Specialist,"Amsterdam, Netherlands",Human Resources,Full-time,corporate,78995,135421,EUR,"hr, diversity, inclusion","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Diversity and Inclusion Specialist in Amsterdam, Netherlands with expertise in hr, diversity, inclusion.",2025-10-05T01:51:32.681653+00:00,new,ebbc1b67-f44e-40d6-9cc0-078dbab7ac0b
E-commerce Specialist,"Amsterdam, Netherlands",E-commerce,Full-time,corporate,99186,170034,EUR,"ecommerce, digital, business","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced E-commerce Specialist in Amsterdam, Netherlands with expertise in ecommerce, digital, business.",2025-10-05T01:51:32.681653+00:00,new,d59ec605-e1bb-448e-918f-0fd43211b69d
AI Governance Specialist,"Berlin, Germany",Artificial Intelligence,Full-time,corporate,83893,139821,EUR,"ai, governance, compliance","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced AI Governance Specialist in Berlin, Germany with expertise in ai, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,e266f129-2358-49cc-aa2d-34c240fa91b9
AI Product Manager,"Berlin, Germany",Artificial Intelligence,Full-time,corporate,96863,161439,EUR,"ai, product, management","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced AI Product Manager in Berlin, Germany with expertise in ai, product, management.",2025-10-05T01:51:32.681653+00:00,new,7cb7f9cc-ecf0-41ab-9965-88d8078e5958
AI Trainer,"Berlin, Germany",Artificial Intelligence,Full-time,corporate,79639,132732,EUR,"ai, training, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced AI Trainer in Berlin, Germany with expertise in ai, training, technology.",2025-10-05T01:51:32.681653+00:00,new,8448653b-6766-425f-a351-a53f5c31c4ec
Carbon Emissions Analyst,"Berlin, Germany",Environmental Services,Full-time,corporate,71173,118622,EUR,"sustainability, environment, analytics","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Carbon Emissions Analyst in Berlin, Germany with expertise in sustainability, environment, analytics.",2025-10-05T01:51:32.681653+00:00,new,f904d4e8-1a8e-4481-bc6a-69a752d46aa4
Climate Change Analyst,"Berlin, Germany",Environmental Services,Full-time,corporate,62135,103559,EUR,"environment, climate, analytics","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced Climate Change Analyst in Berlin, Germany with expertise in environment, climate, analytics.",2025-10-05T01:51:32.681653+00:00,new,58a1b83b-5f75-438b-93a1-e4c9da5c54c7
Cloud Architect,"Berlin, Germany",Information Technology,Full-time,corporate,86654,144424,EUR,"cloud, architecture, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cloud Architect in Berlin, Germany with expertise in cloud, architecture, technology.",2025-10-05T01:51:32.681653+00:00,new,582bf96b-c67c-4dc3-91be-d4ae9d1fa16d
Cloud Security Specialist,"Berlin, Germany",Cybersecurity,Full-time,corporate,86070,143451,EUR,"security, cloud, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cloud Security Specialist in Berlin, Germany with expertise in security, cloud, technology.",2025-10-05T01:51:32.681653+00:00,new,1b12432a-208a-4362-94ab-fd7a6c912dca
Compliance Officer,"Berlin, Germany",Legal & Compliance,Full-time,corporate,69698,116164,EUR,"compliance, legal, business","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Compliance Officer in Berlin, Germany with expertise in compliance, legal, business.",2025-10-05T01:51:32.681653+00:00,new,2b6c649e-177c-49b0-a0da-e390ff3ad404
Corporate Social Responsibility Manager,"Berlin, Germany",Corporate Social Responsibility,Full-time,corporate,80516,134193,EUR,"csr, sustainability, management","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Corporate Social Responsibility Manager in Berlin, Germany with expertise in csr, sustainability, management.",2025-10-05T01:51:32.681653+00:00,new,59922c6e-6a12-480f-b71c-8b73f087746a
Customer Experience Designer,"Berlin, Germany",Customer Experience,Full-time,corporate,59681,99469,EUR,"customer, design, experience","Health and dental insurance, Retirement savings plan, Paid time off, Ongoing training and development","Seeking an experienced Customer Experience Designer in Berlin, Germany with expertise in customer, design, experience.",2025-10-05T01:51:32.681653+00:00,new,08541ce9-9d1a-4d1f-9777-192fb8a71be6
Cybersecurity Analyst,"Berlin, Germany",Cybersecurity,Full-time,corporate,82039,136732,EUR,"security, cybersecurity, technology","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Cybersecurity Analyst in Berlin, Germany with expertise in security, cybersecurity, technology.",2025-10-05T01:51:32.681653+00:00,new,a2bb1758-2808-423e-9163-0ea8eaadd830
Data Governance Specialist,"Berlin, Germany",Data Management,Full-time,corporate,75976,126626,EUR,"data, governance, compliance","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced Data Governance Specialist in Berlin, Germany with expertise in data, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,074a7058-d128-4f15-bf8a-bf9a81253839
Data Privacy Officer,"Berlin, Germany",Data Management,Full-time,corporate,88172,146954,EUR,"data, privacy, compliance","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced Data Privacy Officer in Berlin, Germany with expertise in data, privacy, compliance.",2025-10-05T01:51:32.681653+00:00,new,cd333639-2a77-431d-b7b4-92674c53f740
Digital Content Manager,"Berlin, Germany",Marketing,Full-time,corporate,59964,99940,EUR,"content, digital, marketing","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Digital Content Manager in Berlin, Germany with expertise in content, digital, marketing.",2025-10-05T01:51:32.681653+00:00,new,be174ae2-925d-4041-9ebe-785321bfb6d9
Digital Transformation Consultant,"Berlin, Germany",Digital Consulting,Full-time,corporate,90063,150105,EUR,"digital, consulting, business","Medical and dental insurance, 401(k) with company matching, Flexible PTO policy, Learning and development budget, Remote work opportunities","Seeking an experienced Digital Transformation Consultant in Berlin, Germany with expertise in digital, consulting, business.",2025-10-05T01:51:32.681653+00:00,new,fa81e4a6-9d32-4f1d-bb67-f25c03d15f6d
Diversity and Inclusion Specialist,"Berlin, Germany",Human Resources,Full-time,corporate,60143,100239,EUR,"hr, diversity, inclusion","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced Diversity and Inclusion Specialist in Berlin, Germany with expertise in hr, diversity, inclusion.",2025-10-05T01:51:32.681653+00:00,new,dd3a7a61-0063-4be3-9c30-3241538c763a
E-commerce Specialist,"Berlin, Germany",E-commerce,Full-time,corporate,77974,129958,EUR,"ecommerce, digital, business","Full health insurance coverage, Pension plan contributions, Flexible work arrangements, Career advancement programs, Wellness and fitness benefits","Seeking an experienced E-commerce Specialist in Berlin, Germany with expertise in ecommerce, digital, business.",2025-10-05T01:51:32.681653+00:00,new,7fade3f7-0cbf-40a8-8a7d-f460b079be4f
AI Governance Specialist,"Dublin, Ireland",Artificial Intelligence,Full-time,corporate,109526,185355,EUR,"ai, governance, compliance","Comprehensive medical and dental coverage, Retirement savings plan, Flexible schedule and remote options, Professional development and certification support, Well-being and mental health initiatives","Seeking an experienced AI Governance Specialist in Dublin, Ireland with expertise in ai, governance, compliance.",2025-10-05T01:51:32.681653+00:00,new,1a700343-f36b-4011-816b-cb6d46c3e276
AI Product Manager,"Dublin, Ireland",Artificial Intelligence,Full-time,corporate,110741,187409,EUR,"ai, product, management","Health and wellness programs, Retirement savings plan, Flexible working hours, Professional development opportunities","Seeking an experienced AI Product Manager in Dublin, Ireland with expertise in ai, product, management.",2025-10-05T01:51:32.681653+00:00,new,909940bb-aece-4834-b4d1-5659e5ec342e
